Sol Campbell,England,8
Fabio Cannavaro,Italy,8
Yannick Carrasco *,Belgium,8
Ashley Cole,England,8
Kingsley Coman *,France,8
Vladimír Darida *,Czech Republic,8
 Dimas,Portugal,8
Christophe Dugarry,France,8
Luis Fernández,France,8
Torsten Frings,Germany,8
Tomáš Galásek,Czech Republic,8
Kamil Glik *,Poland,8
Gheorghe Hagi,Romania,8
Joe Hart *,England,8
John Heitinga,Netherlands,8
Jordan Henderson *,England,8
Ciro Immobile *,Italy,8
 João Vieira Pinto,Portugal,8
N'Golo Kanté *,France,8
Joshua Kimmich *,Germany,8
Laurent Koscielny,France,8
Brian Laudrup,Denmark,8
Aleksey Mikhaylichenko,CISUSSR,8
Andreas Möller,Germany,8
Lars Olsen,Denmark,8
Marc Overmars,Netherlands,8
Roman Pavlyuchenko,Russia,8
Stuart Pearce,England,8
Łukasz Piszczek,Poland,8
Flemming Povlsen,Denmark,8
 Puyol,Spain,8
Adil Rami,France,8
 Raúl Meireles,Portugal,8
Stefan Reuter,Germany,8
Fabian Schär *,Switzerland,8
Georgios Seitaridis,Greece,8
Moussa Sissoko *,France,8
Wesley Sneijder,Netherlands,8
Maarten Stekelenburg,Netherlands,8
Ruud van Nistelrooy,Netherlands,8
Jan Vertonghen *,Belgium,8
 Víctor Muñoz,Spain,8
Domagoj Vida *,Croatia,8
Kim Vilfort,Denmark,8
 Vítor Baía,Portugal,8
Rudi Völler,Germany,8
Christian Wilhelmsson,Sweden,8
Sylvain Wiltord,France,8
Granit Xhaka *,Switzerland,8
Christian Ziege,Germany,8
Oleksandr Zinchenko *,Ukraine,8
 Abelardo,Spain,7
David Alaba *,Austria,7
Sergey Aleynikov,CISUSSR,7
Massimo Ambrosini,Italy,7
 Arbeloa,Spain,7
Markus Babbel,Germany,7
David Beckham,England,7
Valon Behrami,Switzerland,7
Marcus Berg,Sweden,7
Patrik Berger,Czech Republic,7
Joachim Björklund,Sweden,7
Hans-Peter Briegel,Germany,7
Marcelo Brozović *,Croatia,7
 Bruno Alves,Portugal,7
 Camacho,Spain,7
Jan Ceulemans,Belgium,7
Federico Chiesa *,Italy,7
Cristian Chivu,Romania,7
Ronald de Boer,Netherlands,7
Antonio Di Natale,Italy,7
Roberto Donadoni,Italy,7
Gianluigi Donnarumma *,Italy,7
Albin Ekdal *,Sweden,7
Arif Erdem,Turkey,7
Emil Forsberg *,Sweden,7
Karlheinz Förster,Germany,7
Arne Friedrich,Germany,7
William Gallas,France,7
 Gallego,Spain,7
Zdeněk Grygera,Czech Republic,7
Chris Gunter,Wales,7
Marek Hamšík,Slovakia,7
 Hélder Postiga,Portugal,7
René Henriksen,Denmark,7
Martin Hinteregger,Austria,7
Paul Ince,England,7
 Iván Helguera,Spain,7
Faxe Jensen,Denmark,7
 João Mário *,Portugal,7
 Jorginho *,Italy,7
