,Index,Player,Country,Matches,Goals,Penatlies,AVG,Active
466,451,Ray Wilkins,England,3,1,0,0.33,False
467,451,Ashley Williams,Wales,6,1,0,0.17,False
468,451,Herbert Wimmer,Germany,4,1,0,0.25,False
469,451,Maryan Wisnieski,France,2,1,0,0.5,False
470,451,Rob Witschge,Netherlands,4,1,0,0.25,False
471,451,Axel Witsel,Belgium,9,1,0,0.11,True
472,451,Tony Woodcock,England,3,1,0,0.33,False
473,451,Xavi,Spain,11,1,0,0.09,False
474,451,Burak Yılmaz,Turkey,6,1,0,0.17,False
475,451,Ante Žanetić,Yugoslavia,2,1,0,0.5,False
476,451,Christian Ziege,Germany,8,1,0,0.13,False
477,451,Oleksandr Zinchenko,Ukraine,8,1,0,0.13,True
478,451,Konstantin Zyryanov,Russia,7,1,0,0.14,False
