,Index,Player,Country,Matches,Goals,Penatlies,AVG,Active
105,101,Thorgan Hazard,Belgium,4,2,0,0.5,True
106,101,Marek Heinz,Czech Republic,4,2,0,0.5,False
107,101,François Heutte,France,2,2,0,1.0,False
108,101,Horst Hrubesch,Germany,3,2,0,0.67,False
109,101,Ciro Immobile,Italy,8,2,0,0.25,True
110,101,Lorenzo Insigne,Italy,9,2,0,0.22,True
111,101,Filippo Inzaghi,Italy,4,2,1,0.5,False
112,101,Drazan Jerković,Yugoslavia,2,2,0,1.0,False
113,101,Petr Jiráček,Czech Republic,4,2,0,0.5,False
114,101,João Vieira Pinto,Portugal,8,2,0,0.25,False
115,101,Jordão,Portugal,4,2,0,0.5,False
116,101,Nihat Kahveci,Turkey,4,2,0,0.5,False
117,101,Giorgios Karagounis,Greece,10,2,0,0.2,False
118,101,Kees Kist,Netherlands,4,2,1,0.5,False
119,101,Ivan Klasnić,Croatia,2,2,0,1.0,False
120,101,Michael Krohn-Dehli,Denmark,3,2,0,0.67,False
121,101,Philipp Lahm,Germany,14,2,0,0.14,False
122,101,Manuel Locatelli,Italy,5,2,0,0.4,True
123,101,Luís Figo,Portugal,14,2,0,0.14,False
124,101,Maceda,Spain,4,2,0,0.5,False
125,101,Maniche,Portugal,6,2,0,0.33,False
126,101,Joakim Mæhle,Denmark,6,2,0,0.33,True
127,101,Mendieta,Spain,4,2,2,0.5,False
128,101,Radja Nainggolan,Belgium,5,2,0,0.4,True
129,101,Dezső Novák,Hungary,1,2,1,2.0,False
130,101,Marc Overmars,Netherlands,8,2,0,0.25,False
131,101,Michael Owen,England,7,2,0,0.29,False
132,101,Mesut Özil,Germany,11,2,1,0.18,False
133,101,Pablo Sarabia,Spain,5,2,0,0.4,True
134,101,Jean-Pierre Papin,France,3,2,0,0.67,False
135,101,Graziano Pellè,Italy,4,2,0,0.5,False
136,101,Pepe,Portugal,19,2,0,0.11,True
137,101,Pereda,Spain,2,2,0,1.0,False
138,101,Matteo Pessina,Italy,4,2,0,0.5,True
139,101,Václav Pilař,Czech Republic,4,2,0,0.5,True
140,101,Andrea Pirlo,Italy,11,2,1,0.18,False
141,101,Karel Poborský,Czech Republic,14,2,1,0.14,False
142,101,Paul Pogba,France,11,2,0,0.18,True
143,101,Yussuf Poulsen,Denmark,5,2,0,0.4,True
144,101,Oleg Protasov,USSR,5,2,0,0.4,False
145,101,Aaron Ramsey,Wales,9,2,0,0.22,True
146,101,Ricardo Quaresma,Portugal,9,2,0,0.22,False
147,101,Frank Rijkaard,Netherlands,9,2,0,0.22,False
148,101,Hal Robson-Kanu,Wales,5,2,0,0.4,False
149,101,Rui Costa,Portugal,12,2,0,0.17,False
150,151,Dimitrios Salpingidis,Greece,5,2,1,0.4,False
151,151,Matthias Sammer,Germany,10,2,0,0.2,False
152,151,Paul Scholes,England,7,2,0,0.29,False
153,151,Teddy Sheringham,England,5,2,0,0.4,False
154,151,Andriy Shevchenko,Ukraine,3,2,0,0.67,False
155,151,Kolbeinn Sigþórsson,Iceland,5,2,0,0.4,False
156,151,Wesley Sneijder,Netherlands,8,2,0,0.25,False
157,151,Bogdan Stancu,Romania,3,2,2,0.67,False
158,151,Hakan Şükür,Turkey,7,2,0,0.29,False
159,151,Ádám Szalai,Hungary,7,2,0,0.29,False
160,151,Francesco Totti,Italy,6,2,0,0.33,False
161,151,Arda Turan,Turkey,6,2,0,0.33,False
162,151,Willy van de Kerkhof,Netherlands,5,2,0,0.4,False
163,151,Sylvain Wiltord,France,8,2,0,0.25,False
164,151,Xabi Alonso,Spain,12,2,1,0.17,False
165,151,Roman Yaremchuk,Ukraine,5,2,0,0.4,True
166,151,Andrey Yarmolenko,Ukraine,11,2,0,0.18,True
167,151,Boudewijn Zenden,Netherlands,6,2,0,0.33,False
168,169,Tony Adams,England,9,1,0,0.11,False
169,169,Toby Alderweireld,Belgium,9,1,0,0.11,True
170,169,Sergey Aleynikov,CISUSSR,7,1,0,0.14,False
171,169,Ezgjan Alioski,North Macedonia,3,1,0,0.33,True
172,169,Marcus Allbäck,Sweden,4,1,0,0.25,False
173,169,Alessandro Altobelli,Italy,6,1,0,0.17,False
174,169,Amancio,Spain,2,1,0,0.5,False
175,169,Guillermo Amor,Spain,3,1,0,0.33,False
176,169,Pietro Anastasi,Italy,2,1,0,0.5,False
177,169,Nikos Anastopoulos,Greece,2,1,0,0.5,False
178,169,Kennet Andersson,Sweden,5,1,0,0.2,False
179,169,António Sousa,Portugal,4,1,0,0.25,False
180,169,Marko Arnautović,Austria,6,1,0,0.17,True
181,169,Azpilicueta,Spain,5,1,0,0.2,True
182,169,Nicolò Barella,Italy,6,1,0,0.17,True
183,169,Angelos Basinas,Greece,8,1,1,0.13,False
184,169,Michy Batshuayi,Belgium,3,1,0,0.33,True
185,169,Christoph Baumgartner,Austria,4,1,0,0.25,True
186,169,Radek Bejbl,Czech Republic,8,1,0,0.13,False
187,169,Bruno Bellone,France,3,1,0,0.33,False
188,169,Lars Bender,Germany,3,1,0,0.33,False
189,169,Vasiliy Berezutskiy,Russia,5,1,0,0.2,False
190,169,Patrik Berger,Czech Republic,7,1,1,0.14,False
191,169,Klaus Berggreen,Denmark,6,1,0,0.17,False
192,169,Carl Bertelsen,Denmark,2,1,0,0.5,False
193,169,Vladimir Beschastnykh,Russia,1,1,0,1.0,False
194,169,Jérôme Boateng,Germany,10,1,0,0.1,True
195,169,Zvonimir Boban,Croatia,4,1,0,0.25,False
196,169,Jón Böðvarsson,Iceland,5,1,0,0.2,True
197,169,László Bölöni,Romania,3,1,0,0.33,False
198,169,Uğur Boral,Turkey,2,1,0,0.5,False
199,169,Wilfred Bouma,Netherlands,6,1,0,0.17,False
200,201,Martin Braithwaite,Denmark,6,1,0,0.17,True
201,201,Andreas Brehme,Germany,12,1,0,0.08,False
202,201,Trevor Brooking,England,2,1,0,0.5,False
203,201,Kenneth Brylle,Denmark,2,1,0,0.5,False
204,201,Vlastimil Bubník,CSSR,2,1,0,0.5,False
205,201,Dmitriy Bulykin,Russia,3,1,0,0.33,False
206,201,Okan Buruk,Turkey,4,1,0,0.25,False
207,201,Butragueño,Spain,3,1,0,0.33,False
208,201,Yohan Cabaye,France,5,1,0,0.2,False
209,201,Caminero,Spain,3,1,0,0.33,False
210,201,Carrasco,Spain,5,1,1,0.2,False
211,201,Yannick Carrasco,Belgium,8,1,0,0.13,True
212,201,Andy Carroll,England,3,1,0,0.33,True
213,201,Bobby Charlton,England,2,1,0,0.5,False
214,201,Giorgio Chiellini,Italy,17,1,0,0.06,False
215,201,Enrico Chiesa,Italy,2,1,0,0.5,False
216,201,Cristian Chivu,Romania,7,1,0,0.14,False
217,201,Andreas Christensen,Denmark,6,1,0,0.17,True
218,201,Victor Claesson,Sweden,4,1,0,0.25,True
219,201,Antonio Conte,Italy,3,1,0,0.33,False
220,201,Julien Cools,Belgium,4,1,0,0.25,False
221,201,Marcel Coraş,Romania,3,1,0,0.33,False
222,201,Costinha,Portugal,10,1,0,0.1,False
223,201,Jordi Cruyff,Netherlands,4,1,0,0.25,False
224,201,Dani,Spain,2,1,1,0.5,False
225,201,Luigi de Agostini,Italy,4,1,0,0.25,False
226,201,Ronald de Boer,Netherlands,7,1,0,0.14,False
227,201,Kevin De Bruyne,Belgium,9,1,0,0.11,True
228,201,De la Red,Spain,1,1,0,1.0,False
229,201,Daniele De Rossi,Italy,12,1,0,0.08,False
230,201,Deco,Portugal,9,1,0,0.11,False
231,201,Alessandro Del Piero,Italy,13,1,0,0.08,False
232,201,Thomas Delaney,Denmark,6,1,0,0.17,True
233,201,Traianos Dellas,Greece,9,1,0,0.11,False
234,201,Marco Delvecchio,Italy,3,1,0,0.33,False
235,201,Luigi Di Biagio,Italy,4,1,0,0.25,False
236,201,Antonio Di Natale,Italy,7,1,0,0.14,False
237,201,Eric Dier,England,4,1,0,0.25,True
238,201,Diogo Jota,Portugal,4,1,0,0.25,True
239,201,Karol Dobiaš,CSSR,2,1,0,0.5,False
240,201,Igor Dobrovolskiy,RussiaCIS,4,1,1,0.25,False
241,201,Angelo Domenghini,Italy,3,1,0,0.33,False
242,201,Domingos Paciência,Portugal,3,1,0,0.33,False
243,201,Artem Dovbyk,Ukraine,1,1,0,1.0,True
244,201,Julian Draxler,Germany,5,1,0,0.2,True
245,201,Ljubinko Drulović,Yugoslavia,4,1,0,0.25,False
246,201,Ondrej Duda,Slovakia,6,1,0,0.17,True
247,201,Artem Dzyuba,Russia,6,1,1,0.17,True
248,201,Éder,Italy,4,1,0,0.25,True
249,201,Éder,Portugal,3,1,0,0.33,False
250,251,Stefan Effenberg,Germany,5,1,0,0.2,False
251,251,Lars Elstrup,Denmark,2,1,0,0.5,False
252,251,Breel Embolo,Switzerland,9,1,0,0.11,True
253,251,Etxeberria,Spain,6,1,0,0.17,False
254,251,Luis Fernández,France,8,1,0,0.13,False
255,251,Fernando Couto,Portugal,12,1,0,0.08,False
256,251,Attila Fiola,Hungary,4,1,0,0.25,True
257,251,Stefano Fiore,Italy,9,1,0,0.11,False
258,251,Heinz Flohe,Germany,2,1,0,0.5,False
259,251,Torsten Frings,Germany,8,1,0,0.13,False
260,251,Ionel Ganea,Romania,3,1,1,0.33,False
261,251,Paul Gascoigne,England,5,1,0,0.2,False
262,251,Mario Gavranović,Switzerland,5,1,0,0.2,True
263,251,Theofanis Gekas,Greece,6,1,0,0.17,False
264,251,Zoltán Gera,Hungary,4,1,0,0.25,False
265,251,Eric Gerets,Belgium,4,1,0,0.25,False
266,251,Steven Gerrard,England,9,1,0,0.11,False
267,251,Emanuele Giaccherini,Italy,6,1,0,0.17,False
268,251,Alain Giresse,France,5,1,0,0.2,False
269,251,Denis Glushakov,Russia,4,1,0,0.25,True
270,251,Bart Goor,Belgium,3,1,0,0.33,False
271,251,Gordillo,Spain,10,1,0,0.1,False
272,251,Leon Goretzka,Germany,3,1,0,0.33,True
273,251,Robin Gosens,Germany,4,1,0,0.25,True
274,251,Dejan Govedarica,Yugoslavia,3,1,0,0.33,False
275,251,Francesco Graziani,Italy,4,1,0,0.25,False
276,251,Michael Gregoritsch,Austria,3,1,0,0.33,True
