,Lorenzo Insigne *,Italy,9,2,0,0.22
,Filippo Inzaghi,Italy,4,2,1,0.50
,Drazan Jerković,Yugoslavia,2,2,0,1.00
,Petr Jiráček,Czech Republic,4,2,0,0.50
, João Vieira Pinto,Portugal,8,2,0,0.25
, Jordão,Portugal,4,2,0,0.50
,Nihat Kahveci,Turkey,4,2,0,0.50
,Giorgios Karagounis,Greece,10,2,0,0.20
,Kees Kist,Netherlands,4,2,1,0.50
,Ivan Klasnić,Croatia,2,2,0,1.00
,Michael Krohn-Dehli,Denmark,3,2,0,0.67
,Philipp Lahm,Germany,14,2,0,0.14
,Manuel Locatelli *,Italy,5,2,0,0.40
, Luís Figo,Portugal,14,2,0,0.14
, Maceda,Spain,4,2,0,0.50
, Maniche,Portugal,6,2,0,0.33
,Joakim Mæhle *,Denmark,6,2,0,0.33
, Mendieta,Spain,4,2,2,0.50
,Radja Nainggolan *,Belgium,5,2,0,0.40
,Dezső Novák,Hungary,1,2,1,2.00
,Marc Overmars,Netherlands,8,2,0,0.25
,Michael Owen,England,7,2,0,0.29
,Mesut Özil,Germany,11,2,1,0.18
, Pablo Sarabia *,Spain,5,2,0,0.40
,Jean-Pierre Papin,France,3,2,0,0.67
,Graziano Pellè,Italy,4,2,0,0.50
, Pepe *,Portugal,19,2,0,0.11
, Pereda,Spain,2,2,0,1.00
,Matteo Pessina *,Italy,4,2,0,0.50
,Václav Pilař *,Czech Republic,4,2,0,0.50
,Andrea Pirlo,Italy,11,2,1,0.18
,Karel Poborský,Czech Republic,14,2,1,0.14
,Paul Pogba *,France,11,2,0,0.18
,Yussuf Poulsen *,Denmark,5,2,0,0.40
,Oleg Protasov,USSR,5,2,0,0.40
,Aaron Ramsey *,Wales,9,2,0,0.22
, Ricardo Quaresma,Portugal,9,2,0,0.22
,Frank Rijkaard,Netherlands,9,2,0,0.22
,Hal Robson-Kanu,Wales,5,2,0,0.40
, Rui Costa,Portugal,12,2,0,0.17
151,Dimitrios Salpingidis,Greece,5,2,1,0.40
,Matthias Sammer,Germany,10,2,0,0.20
,Paul Scholes,England,7,2,0,0.29
,Teddy Sheringham,England,5,2,0,0.40
,Andriy Shevchenko,Ukraine,3,2,0,0.67
,Kolbeinn Sigþórsson,Iceland,5,2,0,0.40
,Wesley Sneijder,Netherlands,8,2,0,0.25
,Bogdan Stancu,Romania,3,2,2,0.67
,Hakan Şükür,Turkey,7,2,0,0.29
,Ádám Szalai,Hungary,7,2,0,0.29
,Francesco Totti,Italy,6,2,0,0.33
,Arda Turan,Turkey,6,2,0,0.33
,Willy van de Kerkhof,Netherlands,5,2,0,0.40
,Sylvain Wiltord,France,8,2,0,0.25
, Xabi Alonso,Spain,12,2,1,0.17
,Roman Yaremchuk *,Ukraine,5,2,0,0.40
,Andrey Yarmolenko *,Ukraine,11,2,0,0.18
,Boudewijn Zenden,Netherlands,6,2,0,0.33
169,Tony Adams,England,9,1,0,0.11
,Toby Alderweireld *,Belgium,9,1,0,0.11
,Sergey Aleynikov,CISUSSR,7,1,0,0.14
,Ezgjan Alioski *,North Macedonia,3,1,0,0.33
,Marcus Allbäck,Sweden,4,1,0,0.25
,Alessandro Altobelli,Italy,6,1,0,0.17
, Amancio,Spain,2,1,0,0.50
,Guillermo Amor,Spain,3,1,0,0.33
,Pietro Anastasi,Italy,2,1,0,0.50
,Nikos Anastopoulos,Greece,2,1,0,0.50
,Kennet Andersson,Sweden,5,1,0,0.20
, António Sousa,Portugal,4,1,0,0.25
,Marko Arnautović *,Austria,6,1,0,0.17
, Azpilicueta *,Spain,5,1,0,0.20
,Nicolò Barella *,Italy,6,1,0,0.17
,Angelos Basinas,Greece,8,1,1,0.13
,Michy Batshuayi *,Belgium,3,1,0,0.33
,Christoph Baumgartner *,Austria,4,1,0,0.25
,Radek Bejbl,Czech Republic,8,1,0,0.13
,Bruno Bellone,France,3,1,0,0.33
,Lars Bender,Germany,3,1,0,0.33
,Vasiliy Berezutskiy,Russia,5,1,0,0.20
,Patrik Berger,Czech Republic,7,1,1,0.14
,Klaus Berggreen,Denmark,6,1,0,0.17
,Carl Bertelsen,Denmark,2,1,0,0.50
,Vladimir Beschastnykh,Russia,1,1,0,1.00
,Jérôme Boateng *,Germany,10,1,0,0.10
,Zvonimir Boban,Croatia,4,1,0,0.25
,Jón Böðvarsson *,Iceland,5,1,0,0.20
,László Bölöni,Romania,3,1,0,0.33
,Uğur Boral,Turkey,2,1,0,0.50
,Wilfred Bouma,Netherlands,6,1,0,0.17
201,Martin Braithwaite *,Denmark,6,1,0,0.17
,Andreas Brehme,Germany,12,1,0,0.08
,Trevor Brooking,England,2,1,0,0.50
,Kenneth Brylle,Denmark,2,1,0,0.50
,Vlastimil Bubník,CSSR,2,1,0,0.50
,Dmitriy Bulykin,Russia,3,1,0,0.33
,Okan Buruk,Turkey,4,1,0,0.25
, Butragueño,Spain,3,1,0,0.33
,Yohan Cabaye,France,5,1,0,0.20
, Caminero,Spain,3,1,0,0.33
, Carrasco,Spain,5,1,1,0.20
,Yannick Carrasco *,Belgium,8,1,0,0.13
,Andy Carroll *,England,3,1,0,0.33
,Bobby Charlton,England,2,1,0,0.50
,Giorgio Chiellini,Italy,17,1,0,0.06
,Enrico Chiesa,Italy,2,1,0,0.50
,Cristian Chivu,Romania,7,1,0,0.14
,Andreas Christensen *,Denmark,6,1,0,0.17
,Victor Claesson *,Sweden,4,1,0,0.25
,Antonio Conte,Italy,3,1,0,0.33
,Julien Cools,Belgium,4,1,0,0.25
,Marcel Coraş,Romania,3,1,0,0.33
, Costinha,Portugal,10,1,0,0.10
,Jordi Cruyff,Netherlands,4,1,0,0.25
, Dani,Spain,2,1,1,0.50
,Luigi de Agostini,Italy,4,1,0,0.25
,Ronald de Boer,Netherlands,7,1,0,0.14
,Kevin De Bruyne *,Belgium,9,1,0,0.11
, De la Red,Spain,1,1,0,1.00
,Daniele De Rossi,Italy,12,1,0,0.08
, Deco,Portugal,9,1,0,0.11
,Alessandro Del Piero,Italy,13,1,0,0.08
,Thomas Delaney *,Denmark,6,1,0,0.17
,Traianos Dellas,Greece,9,1,0,0.11
,Marco Delvecchio,Italy,3,1,0,0.33
,Luigi Di Biagio,Italy,4,1,0,0.25
,Antonio Di Natale,Italy,7,1,0,0.14
,Eric Dier *,England,4,1,0,0.25
, Diogo Jota *,Portugal,4,1,0,0.25
,Karol Dobiaš,CSSR,2,1,0,0.50
,Igor Dobrovolskiy,RussiaCIS,4,1,1,0.25
,Angelo Domenghini,Italy,3,1,0,0.33
, Domingos Paciência,Portugal,3,1,0,0.33
,Artem Dovbyk *,Ukraine,1,1,0,1.00
,Julian Draxler *,Germany,5,1,0,0.20
,Ljubinko Drulović,Yugoslavia,4,1,0,0.25
,Ondrej Duda *,Slovakia,6,1,0,0.17
,Artem Dzyuba *,Russia,6,1,1,0.17
, Éder *,Italy,4,1,0,0.25
, Éder,Portugal,3,1,0,0.33
251,Stefan Effenberg,Germany,5,1,0,0.20
,Lars Elstrup,Denmark,2,1,0,0.50
,Breel Embolo *,Switzerland,9,1,0,0.11
, Etxeberria,Spain,6,1,0,0.17
,Luis Fernández,France,8,1,0,0.13
, Fernando Couto,Portugal,12,1,0,0.08
,Attila Fiola *,Hungary,4,1,0,0.25
,Stefano Fiore,Italy,9,1,0,0.11
,Heinz Flohe,Germany,2,1,0,0.50
,Torsten Frings,Germany,8,1,0,0.13
,Ionel Ganea,Romania,3,1,1,0.33
,Paul Gascoigne,England,5,1,0,0.20
,Mario Gavranović *,Switzerland,5,1,0,0.20
,Theofanis Gekas,Greece,6,1,0,0.17
,Zoltán Gera,Hungary,4,1,0,0.25
,Eric Gerets,Belgium,4,1,0,0.25
,Steven Gerrard,England,9,1,0,0.11
,Emanuele Giaccherini,Italy,6,1,0,0.17
,Alain Giresse,France,5,1,0,0.20
