,Euro,Stage,Date,Hour,Home,Away,H,A,HT_H,HT_A,Extra Time,FT_H,FT_A,Penatly,PEN_H,PEN_A
311,2021,Group,14/06/2021,17:00,Poland,Slovakia,1,2,0,1,False,,,False,,
312,2021,Group,14/06/2021,20:00,Spain,Sweden,0,0,0,0,False,,,False,,
313,2021,Group,18/06/2021,14:00,Sweden,Slovakia,1,0,0,0,False,,,False,,
314,2021,Group,19/06/2021,20:00,Spain,Poland,1,1,1,0,False,,,False,,
315,2021,Group,23/06/2021,17:00,Sweden,Poland,3,2,1,0,False,,,False,,
316,2021,Group,23/06/2021,17:00,Slovakia,Spain,0,5,0,2,False,,,False,,
317,2021,Group,15/06/2021,17:00,Hungary,Portugal,0,3,0,0,False,,,False,,
318,2021,Group,15/06/2021,20:00,France,Germany,1,0,1,0,False,,,False,,
319,2021,Group,19/06/2021,14:00,Hungary,France,1,1,1,0,False,,,False,,
320,2021,Group,19/06/2021,17:00,Portugal,Germany,2,4,1,2,False,,,False,,
321,2021,Group,23/06/2021,20:00,Portugal,France,2,2,1,1,False,,,False,,
322,2021,Group,23/06/2021,20:00,Germany,Hungary,2,2,0,1,False,,,False,,
323,2021,Round of 16,26/06/2021,17:00,Wales,Denmark,0,4,0,1,False,,,False,,
324,2021,Round of 16,26/06/2021,20:00,Italy,Austria,2,1,0,0,True,0,0,False,,
325,2021,Round of 16,27/06/2021,17:00,Netherlands,Czech Republic,0,2,0,0,False,,,False,,
326,2021,Round of 16,27/06/2021,20:00,Belgium,Portugal,1,0,1,0,False,,,False,,
327,2021,Round of 16,28/06/2021,17:00,Croatia,Spain,3,5,1,1,True,3,3,False,,
328,2021,Round of 16,28/06/2021,20:00,France,Switzerland,3,3,0,1,False,3,3,True,4,5
329,2021,Round of 16,29/06/2021,17:00,England,Germany,2,0,0,0,False,,,False,,
330,2021,Round of 16,28/06/2021,20:00,Sweden,Ukraine,1,2,1,1,True,1,1,False,,
331,2021,Quarter-finals,02/07/2021,17:00,Switzerland,Spain,1,1,0,1,False,1,1,True,1,3
332,2021,Quarter-finals,02/07/2021,20:00,Belgium,Italy,1,2,1,2,False,,,False,,
333,2021,Quarter-finals,03/07/2021,17:00,Czech Republic,Denmark,1,2,0,2,False,,,False,,
334,2021,Quarter-finals,03/07/2021,20:00,Ukraine,England,0,4,0,1,False,,,False,,
335,2021,Semi-finals,06/07/2021,20:00,Italy,Spain,1,1,0,0,False,1,1,True,4,2
336,2021,Semi-finals,07/07/2021,20:00,England,Denmark,2,1,1,1,True,1,1,False,,
337,2021,Final,11/07/2021,20:00,Italy,England,1,1,0,1,False,1,1,True,3,2
