,Date,Result,Competitions,Home,Away,H,A
154,1948-04-21,H,Dr Gero Cup,Hungary,Switzerland,7,4
155,1952-09-20,A,Dr Gero Cup,Switzerland,Hungary,2,4
156,1954-10-10,H,International Friendly,Hungary,Switzerland,3,0
157,1955-09-17,A,Dr Gero Cup,Switzerland,Hungary,4,5
158,1959-10-25,H,International Friendly,Hungary,Switzerland,8,0
159,1964-10-04,A,International Friendly,Switzerland,Hungary,0,2
160,1966-06-05,H,International Friendly,Hungary,Switzerland,3,1
161,1970-11-15,A,International Friendly,Switzerland,Hungary,0,1
162,1974-12-04,H,International Friendly,Hungary,Switzerland,1,0
163,1976-04-30,A,International Friendly,Switzerland,Hungary,0,1
164,1981-04-28,D,FIFA World Cup,Switzerland,Hungary,2,2
165,1981-10-14,H,FIFA World Cup,Hungary,Switzerland,3,0
166,1984-08-22,H,International Friendly,Hungary,Switzerland,3,0
167,1989-04-04,H,International Friendly,Hungary,Switzerland,3,0
168,1994-03-09,A,International Friendly,Hungary,Switzerland,1,2
169,1995-03-29,D,UEFA European Championship,Hungary,Switzerland,2,2
170,1995-10-11,H,UEFA European Championship,Switzerland,Hungary,3,0
171,1997-04-30,H,FIFA World Cup,Switzerland,Hungary,1,0
172,1997-08-20,D,FIFA World Cup,Hungary,Switzerland,1,1
173,1998-11-18,H,International Friendly,Hungary,Switzerland,2,0
174,2002-02-13,H,Four Nation Tournament Cyprus,Switzerland,Hungary,2,1
175,2016-10-07,A,FIFA World Cup,Hungary,Switzerland,2,3
176,2017-10-07,H,FIFA World Cup,Switzerland,Hungary,5,2
