,Euro,Team,Change,Change_Global,Change_Local
0,1960,France,-91,7,3
7,1964,Denmark,-22,3,0
9,1968,Soviet Union,-28,2,1
14,1972,Hungary,-45,0,0
18,1976,Yugoslavia,-57,7,1
26,1980,Spain,-25,0,0
31,1984,Yugoslavia,-102,14,4
36,1988,England,-109,6,4
44,1992,Germany,-75,2,1
61,1996,Romania,-61,6,3
81,2000,Belgium,-70,8,1
97,2004,Bulgaria,-75,12,1
101,2008,France,-83,4,4
117,2012,Netherlands,-95,4,2
139,2016,Ukraine,-98,16,8
170,2020,Turkey,-70,16,4
