,Home_Rating,Away_Rating,Stage,HT_H,HT_A,H,A,Extra Time,Penatly
143,2017,1777,0,0,0,1,0,0,0
144,1796,2017,0,0,1,1,1,0,0
145,1777,1899,0,0,1,0,2,0,0
146,2017,1899,0,0,0,0,1,0,0
147,1777,1796,0,2,1,2,1,0,0
148,1706,1838,0,0,0,0,0,0,0
149,2057,1939,0,0,1,2,1,0,0
150,1939,1706,0,1,0,3,0,0,0
151,1838,2057,0,0,1,2,2,0,0
152,1838,1939,0,1,2,2,4,0,0
153,1706,2057,0,1,1,1,3,0,0
154,1871,1948,0,0,0,0,0,0,0
155,1800,1759,0,1,0,5,0,0,0
156,1759,1871,0,0,1,0,2,0,0
157,1948,1800,0,1,0,1,1,0,0
158,1948,1759,0,0,1,2,1,0,0
159,1871,1800,0,1,0,2,2,0,0
160,1958,1523,0,0,1,2,1,0,0
161,1869,1967,0,1,0,1,1,0,0
162,1523,1869,0,0,0,0,0,0,0
163,1967,1958,0,2,1,2,3,0,0
164,1967,1523,0,2,0,3,0,0,0
165,1869,1958,0,1,1,1,2,0,0
166,1899,1939,2,0,1,6,5,0,1
167,2057,1796,2,0,0,0,1,0,0
168,1800,1967,2,0,0,4,5,0,1
169,1958,1871,2,0,0,3,0,0,0
170,1899,1967,3,1,0,2,1,0,0
171,1796,1958,3,0,0,1,0,1,0
172,1899,1796,5,0,0,0,1,0,0
173,1794,1921,0,0,0,0,1,0,0
174,1860,1812,0,0,0,2,0,0,0
175,1921,1860,0,1,1,1,3,0,0
176,1794,1812,0,1,0,1,2,0,0
177,1794,1860,0,0,0,2,0,0,0
178,1812,1921,0,0,1,3,2,0,0
179,1600,1871,0,0,1,0,1,0,0
180,1961,1786,0,1,0,2,0,0,0
181,1871,1961,0,1,0,2,1,0,0
182,1600,1786,0,0,1,1,1,0,0
183,1600,1961,0,0,0,0,1,0,0
184,1786,1871,0,0,0,0,1,0,0
185,1912,2007,0,0,0,0,0,0,0
186,1973,2033,0,2,0,3,0,0,0
187,2033,1912,0,0,0,1,1,0,0
188,1973,2007,0,1,0,4,1,0,0
189,2007,2033,0,0,1,0,2,0,0
190,1973,1912,0,0,0,2,0,0,0
191,1986,1799,0,2,0,4,1,0,0
192,1835,1782,0,0,0,0,2,0,0
193,1782,1986,0,1,1,1,2,0,0
194,1835,1799,0,0,1,0,1,0,0
195,1835,1986,0,1,0,1,2,0,0
196,1799,1782,0,1,0,2,0,0,0
197,1860,1961,2,1,2,2,3,0,0
198,1871,1812,2,0,0,1,3,0,1
199,1973,1799,2,0,0,1,3,1,0
200,1986,2033,2,0,0,4,2,0,1
201,1961,1812,3,1,1,3,2,0,0
202,1799,1986,3,0,0,0,3,0,0
203,1961,1986,5,0,1,0,1,0,0
204,1722,1780,0,1,0,1,1,0,0
205,1850,1788,0,2,0,4,1,0,0
206,1780,1788,0,0,2,1,2,0,0
207,1722,1850,0,0,1,1,1,0,0
208,1788,1722,0,0,0,1,0,0,0
209,1780,1850,0,1,0,1,0,0,0
210,2061,1817,0,0,1,0,1,0,0
211,2043,1865,0,0,0,1,0,0,0
212,1817,1865,0,1,2,2,3,0,0
213,2061,2043,0,0,2,1,2,0,0
214,1865,2061,0,1,1,2,1,0,0
215,1817,2043,0,1,1,1,2,0,0
216,2127,1851,0,0,0,1,1,0,0
217,1805,1873,0,1,2,1,3,0,0
218,1851,1873,0,1,0,1,1,0,0
219,2127,1805,0,1,0,4,0,0,0
220,1873,2127,0,0,0,0,1,0,0
221,1851,1805,0,1,0,2,0,0,0
222,1867,1955,0,1,1,1,1,0,0
223,1756,1890,0,0,0,2,1,0,0
224,1756,1867,0,0,0,0,2,0,0
225,1890,1955,0,0,1,2,3,0,0
226,1955,1756,0,0,0,1,0,0,0
227,1890,1867,0,0,0,2,0,0,0
228,1788,1865,2,0,0,0,1,0,0
229,2043,1780,2,1,0,4,2,0,0
230,2127,1867,2,1,0,2,0,0,0
231,1955,1851,2,0,0,2,4,0,1
232,1865,2127,3,0,0,2,4,0,1
233,2043,1851,3,0,2,1,2,0,0
234,2127,1851,5,2,0,4,0,0,0
235,1975,1759,0,0,0,2,1,0,0
236,1616,1771,0,0,1,0,1,0,0
237,1759,1771,0,1,0,1,1,0,0
238,1975,1616,0,0,0,2,0,0,0
239,1771,1975,0,0,0,0,0,0,0
